Depth	Taxaid	Taxonomic Tree	MetaPhlAn Average	Kraken Average
Family	2005525	Bacteria|Bacteroidota|Bacteroidia|Bacteroidales|Tannerellaceae	0.06527059929079077	0.03917882941710082	0.026091769873689948
Family	171551	Bacteria|Bacteroidota|Bacteroidia|Bacteroidales|Porphyromonadaceae	0.00042049999543098294	0	0.00042049999543098294
Family	2171990	Bacteria|Candidatus_Saccharibacteria|Candidatus_Nanosyncoccalia|Candidatus_Nanogingivales|Candidatus_Nanogingivalaceae	5.120000388127649e-05	0	5.120000388127649e-05
Family	2810280	Bacteria|Bacillota|Erysipelotrichia|Erysipelotrichales|Coprobacillaceae	0.0001360000061042531	0.0034856895398488823	-0.003349689533744629
Family	2049	Bacteria|Actinobacteria|Actinomycetia|Actinomycetales|Actinomycetaceae	1.3999999399763374e-06	5.0675468261035434e-05	-4.9275468321059096e-05
Family	4893	Eukaryota|Ascomycota|Saccharomycetes|Saccharomycetales|Saccharomycetaceae	9.580000200405154e-05	0	9.580000200405154e-05
Family	186806	Bacteria|Firmicutes|Clostridia|Eubacteriales|Eubacteriaceae	0.003965299956914332	0.0013020787916472876	0.0026632211652670443
Family	2895623	Bacteria|Tenericutes|Tenericutes_unclassified|Mycoplasmoidales|Metamycoplasmataceae	2.9700000672997082e-05	0	2.9700000672997082e-05
Family	1903414	Bacteria|Proteobacteria|Gammaproteobacteria|Enterobacterales|Morganellaceae	0.0010080999567786755	3.161899670456324e-05	0.0009764809600741123
Family	2062	Bacteria|Actinomycetota|Actinomycetes|Kitasatosporales|Streptomycetaceae	0	4.065974108651347e-06	-4.065974108651347e-06
Family	255528	Bacteria|Lentisphaerae|Lentisphaeria|Victivallales|Victivallaceae	0.00562039993893055	0	0.00562039993893055
Family	216572	Bacteria|Bacillota|Clostridia|Eubacteriales|Oscillospiraceae	0.0015400999832657714	0.1382576787158865	-0.13671757873262075
Family	1853232	Bacteria|Bacteroidota|Cytophagia|Cytophagales|Hymenobacteraceae	0	3.885024707197456e-06	-3.885024707197456e-06
Family	1853231	Bacteria|Bacteroidota|Bacteroidia|Bacteroidales|Odoribacteraceae	0.007038699923519761	0.011297566774996468	-0.004258866851476707
Family	3047432	Bacteria|Bacillota|Clostridia|Eubacteriales|Maliibacteriaceae	0	1.823409406370777e-05	-1.823409406370777e-05
Family	2805586	Bacteria|Actinobacteria|Actinomycetia|Corynebacteriales|Lawsonellaceae	3.859999929830544e-05	4.236531291587512e-06	3.436346800671793e-05
Family	415002	Bacteria|Verrucomicrobia|Opitutae|Puniceicoccales|Puniceicoccaceae	0.006660599927628074	0	0.006660599927628074
Family	2171986	Bacteria|Candidatus_Saccharibacteria|Candidatus_Saccharimonadia|Candidatus_Saccharimonadales|Candidatus_Saccharimonadaceae	2.240000046858825e-05	0	2.240000046858825e-05
Genus	1847725	Bacteria|Actinobacteria|Actinomycetia|Corynebacteriales|Lawsonellaceae|Lawsonella	3.859999929830544e-05	4.236531291587512e-06	3.436346800671793e-05
Genus	558436	Bacteria|Bacteroidota|Bacteroidia|Bacteroidales|Prevotellaceae|Xylanibacter	0	0.0005186082616439933	-0.0005186082616439933
Genus	1506577	Bacteria|Firmicutes|Clostridia|Eubacteriales|Lachnospiraceae|Tyzzerella	0.00014070000195794507	0	0.00014070000195794507
Genus	133925	Bacteria|Actinobacteria|Coriobacteriia|Coriobacteriales|Atopobiaceae|Olsenella	0.0008781000058054152	1.5568456673367908e-05	0.0008625315491320473
Genus	2944194	Bacteria|Firmicutes|Clostridia|Eubacteriales|Lachnospiraceae|Jutongia	7.630000216645985e-05	0	7.630000216645985e-05
Genus	2717089	Bacteria|Firmicutes|Clostridia|Eubacteriales|Eubacteriales_unclassified|Massilistercora	0.00023160000322288614	0.00021084057443805174	2.0759428784834403e-05
Genus	113286	Bacteria|Firmicutes|Clostridia|Eubacteriales|Eubacteriaceae|Pseudoramibacter	2.3999999789075645e-06	0	2.3999999789075645e-06
Genus	33042	Bacteria|Firmicutes|Clostridia|Eubacteriales|Lachnospiraceae|Coprococcus	0.005273299942702027	0.006856643240534839	-0.0015833432978328123
